date_error,product_id,algorithm,price,rmin,rmax,type_error
50,2023-10-02,de428b11-add6-11ed-909a-00155d8ed20b,13,2299,650,3199,Товар имеет несколько новых цен
51,2023-10-02,4c6c1b50-add0-11ed-909a-00155d8ed20b,13,2499,950,4599,Товар имеет несколько новых цен
52,2023-10-02,14e884f7-ae6f-11ed-909b-00155d8ed20b,13,2599,1150,3199,Товар имеет несколько новых цен
53,2023-10-02,4e2e0e99-544a-11ea-a20d-00155df1b805,13,4199,2599,18899,Товар имеет несколько новых цен
54,2023-10-02,33c1f0ec-8a27-493c-84df-ed6333f698c7,13,99,70,250,Товар имеет несколько новых цен
55,2023-10-06,77faf354-0995-11ed-8ff1-00155d8ed20b,14,21499,37999,26199,Новая цена меньше Рмин
56,2023-10-09,f91a40d0-a777-11ed-9097-00155d8ed209,1,17999,12699,22199,Товар имеет несколько новых цен
57,2023-10-09,f91a40d0-a777-11ed-9097-00155d8ed209,4,17999,12699,22199,Товар имеет несколько новых цен
58,2023-10-13,83af913c-54bf-4d32-b83e-4cf08f0fe9ba,13,22999,18799,27599,Товар имеет несколько новых цен
59,2023-10-13,83af913c-54bf-4d32-b83e-4cf08f0fe9ba,11,22999,18799,27599,Товар имеет несколько новых цен
